Task ID,Tier,Boss/Activity,Task Name,Explanation
1,Easy,Barrows,Barrows Novice,Defeat all 6 Barrows brothers once.
2,Easy,Bryophyta,Bryophyta Novice,Kill Bryophyta once.
3,Easy,Bryophyta,F2P Bryophyta,Kill Bryophyta on a free-to-play world.
4,Easy,Deranged Archaeologist,Deranged Archaeologist Novice,Kill the Deranged Archaeologist once.
5,Easy,Giant Mole,Giant Mole Novice,Kill the Giant Mole once.
6,Easy,Obor,Obor Novice,Kill Obor once.
7,Easy,Obor,F2P Obor,Kill Obor on a free-to-play world.
8,Easy,Scurrius,Scurrius Novice,Kill Scurrius once.
9,Easy,Tempoross,Tempoross Novice,Subdue Tempoross once.
10,Easy,Wintertodt,Wintertodt Novice,Subdue the Wintertodt once.
11,Medium,Barrows,Barrows Champion,Defeat all 6 Barrows brothers 10 times.
12,Medium,Bryophyta,Bryophyta Champion,Kill Bryophyta 5 times.
13,Medium,Dagannoth Kings,Dagannoth Supreme Novice,Kill Dagannoth Supreme once.
14,Medium,Dagannoth Kings,Dagannoth Rex Novice,Kill Dagannoth Rex once.
15,Medium,Dagannoth Kings,Dagannoth Prime Novice,Kill Dagannoth Prime once.
16,Medium,Giant Mole,Giant Mole Champion,Kill the Giant Mole 10 times.
17,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
18,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
19,Elite,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
20,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
21,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
22,Hard,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
23,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
24,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
25,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
26,Grandmaster,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
27,Grandmaster,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
28,Master,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
29,Elite,Zulrah,Zulrah Challenge Task,Complete a designated milestone or special combat condition against Zulrah.
30,Master,General Graardor,General Graardor Challenge Task,Complete a designated milestone or special combat condition against General Graardor.
31,Elite,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
32,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
33,Hard,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
34,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
35,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
36,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
37,Grandmaster,Vorkath,Vorkath Challenge Task,Complete a designated milestone or special combat condition against Vorkath.
38,Hard,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
39,Hard,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
40,Master,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
41,Master,Inferno,Inferno Challenge Task,Complete a designated milestone or special combat condition against Inferno.
42,Elite,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
43,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
44,Master,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
45,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
46,Grandmaster,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
47,Grandmaster,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
48,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
49,Master,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
50,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
51,Elite,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
52,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
53,Grandmaster,Phantom Muspah,Phantom Muspah Challenge Task,Complete a designated milestone or special combat condition against Phantom Muspah.
54,Master,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
55,Elite,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
56,Hard,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
57,Hard,Duke Succellus,Duke Succellus Challenge Task,Complete a designated milestone or special combat condition against Duke Succellus.
58,Grandmaster,Leviathan,Leviathan Challenge Task,Complete a designated milestone or special combat condition against Leviathan.
59,Hard,The Whisperer,The Whisperer Challenge Task,Complete a designated milestone or special combat condition against The Whisperer.
60,Master,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
61,Grandmaster,Araxxor,Araxxor Challenge Task,Complete a designated milestone or special combat condition against Araxxor.
62,Grandmaster,Commander Zilyana,Commander Zilyana Challenge Task,Complete a designated milestone or special combat condition against Commander Zilyana.
63,Master,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
64,Elite,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
65,Master,Nex,Nex Challenge Task,Complete a designated milestone or special combat condition against Nex.
66,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
67,Grandmaster,Colosseum,Colosseum Challenge Task,Complete a designated milestone or special combat condition against Colosseum.
68,Elite,Alchemical Hydra,Alchemical Hydra Challenge Task,Complete a designated milestone or special combat condition against Alchemical Hydra.
69,Grandmaster,Tombs of Amascut,Tombs of Amascut Challenge Task,Complete a designated milestone or special combat condition against Tombs of Amascut.
70,Hard,Chambers of Xeric,Chambers of Xeric Challenge Task,Complete a designated milestone or special combat condition against Chambers of Xeric.
71,Elite,Theatre of Blood,Theatre of Blood Challenge Task,Complete a designated milestone or special combat condition against Theatre of Blood.
